Date,,,,,,,Qty,Frac,Item,Unit,Cals,Carb,Fib.
,,,,,,,230,,Tzatziki,1,129,4.4,0.3
,,,,,,,150,,Prawns,1,72,0.1,0
,,,,,,,187,,Sushi,1,178,23.1,0
,,,,,,,0,,"Coconut biscuits, 16",100,213,,
,,,,,,,150,8,Dessicated coconut,1,629,6.4,11.5
,,,,,,,50,8,Sunflower seeds,1,598,18.6,6
,,,,,,,50,8,Hemp protein powder,1,362,10,13
,,,,,,,25,8,"Honey, runny",1,329,81.5,0.2
,,,,,,,,8,"Vanilla paste, tsp",5,340,60,0
,,,,,,,,8,"Coconut oil, tbsp",15,898,0,0
,,,,,,,,8,"Cinnamon, tsp",2.5,247,81,53
,,,,,,,400,,Ginger  beer,1,1.7,0,0
,,,,,,,,,"Coffee, milk",60,37,5.2,0
,,,,,,,,,"Half sugar, half teaspoon",2,400,98.9,0
04/07/19,,,,,,,1200,,Ginger  beer,1,1.7,0,0
,,,,,,,7,,Carrs Table Water,7.6,412,73.9,4.2
,,,,,,,40,,Smoked Salmon,1,204,1.1,0.2
,,,,,,,50,,Cucumber,1,15,3.6,0.5
,,,,,,,70,,Ricotta,1,105,3,0
,,,,,,,0.67,,Banana,60,103,23.2,1.1
,,,,,,,100,,"Apples, braeburn",1,57,11.6,0
,,,,,,,,2,Chunky chicken,400,140,3.4,0.6
,,,,,,,,2,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,100,2,Lettuce iceberg,1,14,1.3,1.3
,,,,,,,0.5,,Tomato,200,20,3.1,1
,,,,,,,50,2,Pepper Orange,1,32,7.6,1.4
,,,,,,,50,2,Celery,1,16,3,1.6
,,,,,,,50,2,Cucumber,1,15,3.6,0.5
,,,,,,,,2,"Olive oil, tsp",5,823,0,0
,,,,,,,,2,"Vinegar, tsp",5,14,1.8,0.2
,,,,,,,,,"Protein yoghurt, passion fruit",200,70,6.8,0
05/07/19,,,,,,,100,,Ginger  beer,1,1.7,0,0
,,,,,,,,2,Chunky chicken,400,140,3.4,0.6
,,,,,,,,2,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,100,2,Lettuce iceberg,1,14,1.3,1.3
,,,,,,,50,2,Pepper Orange,1,32,7.6,1.4
,,,,,,,50,2,Celery,1,16,3,1.6
,,,,,,,50,2,Cucumber,1,15,3.6,0.5
,,,,,,,,2,"Olive oil, tsp",5,823,0,0
,,,,,,,,2,"Vinegar, tsp",5,14,1.8,0.2
,,,,,,,,,Salmon fillets,120,267,0.2,0
,,,,,,,,,Cod fillets,125,98,0.2,0.2
,,,,,,,86.67,,Broccoli,1,34,7,2.6
,,,,,,,215,2,"Peas, frozen",1,85,10.8,5.6
,,,,,,,140,,"Mashed potato, frozen",1,103,15,1
,,,,,,,9,,Lurpak,1,516,0.4,0
,,,,,,,155,,Conference pear,1,47,10,2.2
,,,,,,,,,"Protein yoghurt, passion fruit",200,70,6.8,0
06/07/19,,,,,,,2,,Oatibix,21.5,395,64,7.3
,,,,,,,150,,"Milk, skimmed",1,37,5,0
,,,,,,,,,"Salted caramel latte Costa, per drink",100,352,49,0
,,,,,,,25,,Smoked salmon,1,204,1.1,0.2
,,,,,,,25,,Ricotta,1,105,3,0
,,,,,,,1.5,,Thins,40,225,38.6,3.5
,,,,,,,1,,"Soup, butternut squash",600,37,4.9,1.1
,,,,,,,800,,Ginger pepsi max,1,0.4,0,0
,,,,,,,10,,Spray oil,0.2,2,0.3,0.1
,,,,,,,0.5,2,Onion,240,34.8,7.8,1.5
,,,,,,,0.5,2,Pepper Orange,100,32,7.6,1.4
,,,,,,,,2,Tomato,200,20,3.1,1
,,,,,,,120,2,Lettuce iceberg,1,14,1.3,1.3
,,,,,,,53,2,Carrot,1,41,9.6,2.8
,,,,,,,47,2,Celery,1,16,3,1.6
,,,,,,,56,2,Cucumber,1,15,3.6,0.5
,,,,,,,85,2,"Cabbage, white",1,32,5,2.1
,,,,,,,2,,Chicken kababs,60,230,7.4,0.5
,,,,,,,2,,Lamb kebabs,66.3,162,26,0
,,,,,,,2,,Croquettes,30.1,183,25.8,2.4
,,,,,,,0.2,2,"Olive oil, tsp",5,823,0,0
07/07/19,,,,,,,2,,Oatibix,21.5,395,64,7.3
,,,,,,,125,,"Milk, skimmed",1,37,5,0
,,,,,,,,2,"Toad In The Hole, (RYP)",350,295,23,4.4
,,,,,,,140,,"Mashed potato, frozen",1,103,15,1
,,,,,,,0.45,,Baked beans,415,78,12.5,3.6
,,,,,,,120,2,Lettuce iceberg,1,14,1.3,1.3
,,,,,,,53,2,Carrot,1,41,9.6,2.8
,,,,,,,47,2,Celery,1,16,3,1.6
,,,,,,,56,2,Cucumber,1,15,3.6,0.5
,,,,,,,85,2,"Cabbage, white",1,32,5,2.1
,,,,,,,18,2,Lurpak,1,516,0.4,0
,,,,,,,0.3,,"Olive oil, tsp",5,823,0,0
,,,,,,,90,,"Banana, small",1,103,23.2,1.1
,,,,,,,120,,Steak,1,192,0.2,0.2
,,,,,,,320,,Jacket potato,1,93,21,1.8
,,,,,,,96,,Pepper Orange,1,32,7.6,1.4
,,,,,,,90,,Cucumber,1,15,3.6,0.5
,,,,,,,40,,Tomato,1,20,3.1,1
,,,,,,,75,,Lettuce iceberg,1,14,1.3,1.3
,,,,,,,40,,"Cabbage, white",1,32,5,2.1
,,,,,,,0.5,,Onion,240,34.8,7.8,1.5
,,,,,,,25,,Lurpak,1,516,0.4,0
,,,,,,,25,,Spray oil,0.2,2,0.3,0.1
,,,,,,,,,"Celery, stick",50,16,3,1.6
,,,,,,,40,,Carrot,1,41,9.6,2.8
08/07/19,,,,,,,2,,Oatibix,21.5,395,64,7.3
,,,,,,,150,,"Milk, skimmed",1,37,5,0
,,,,,,,38,,"Banana, small",1,103,23.2,1.1
,,,,,,,120,,Steak,1,192,0.2,0.2
,,,,,,,,,Cheese+tomato pasta bake BGTY,400,101,15.1,1.3
,,,,,,,,,Spray oil,0.2,2,0.3,0.1
,,,,,,,25,,"Tea, milk",1,37,5,0
,,,,,,,5,,"Sugar, tsp",1,400,99.9,0
09/07/19,,,,,,,0,,"Coconut biscuits, 16",1,213,,
,,,,,,,,,Banana,60,103,23.2,1.1
,,,,,,,600,,"Soup, glorious",1,37,4.9,1.5
,,,,,,,1.5,,Thins,40,225,38.6,3.5
,,,,,,,,,"Coffee, milk",60,37,5.2,0
,,,,,,,,,"Half-sugar, half tsp",2,400,98.9,0
,,,,,,,600,,Ginger  beer,1,1.7,0,0
,,,,,,,10,2,Spray oil,0.2,2,0.3,0.1
,,,,,,,,,Salmon fillets,120,267,0.2,0
,,,,,,,146,,"Rice, Basmati micro",1,168,30.5,1.4
,,,,,,,,,Prawns,165,108,0.2,0
,,,,,,,,,Micro veg,240,30,2.9,2.9
,,,,,,,150,8,Dessicated coconut,1,629,6.4,11.5
,,,,,,,50,8,Sunflower seeds,1,598,18.6,6
,,,,,,,50,8,Hemp protein powder,1,362,10,13
,,,,,,,25,8,"Honey, runny",1,329,81.5,0.2
,,,,,,,,8,"Vanilla paste, tsp",5,340,60,0
,,,,,,,,8,"Coconut oil, tbsp",15,898,0,0
,,,,,,,,8,"Cinnamon, tsp",2.5,247,81,53
,,,,,,,85,,Pear,1,43,10.9,1.6
,,,,,,,,,"Protein yoghurt, blueberry",200,62,5.3,0
10/07/19,,,,,,,,,"Coffee, milk",60,37,5.2,0
,,,,,,,,,"Half sugar, half teaspoon",2,400,98.9,0
,,,,,,,,,Poached egg,50,143,0.7,0
,,,,,,,,,"Sausage, cumberland",30,250,7.8,1.5
,,,,,,,2,,"Back bacon, rasher",26,229.2,0,0
,,,,,,,0.5,,Black pudding slice,25,376,1.3,0
,,,,,,,,,"Mushroom, flat, large",30,112.2,12.2,0.9
,,,,,,,0.25,,"Baked beans, tin",415,78,12.5,3.6
,,,,,,,25,,"Tea, milk",1,37,5,0
,,,,,,,3,,Sugar,1,400,99.9,0
,,,,,,,330,,Rubicon watermelon/lime/mint,1,19,4.5,0.1
,,,,,,,8,,Carrs Table Water,7.6,412,73.9,4.2
,,,,,,,100,,Smoked salmon,1,204,1.1,0.2
,,,,,,,40,,Ricotta,1,105,3,0
,,,,,,,300,,"Ginger beer, diet",1,1.7,0,0
,,,,,,,300,,Tonic water,1,2,0,0
,,,,,,,,2,Toad in hole,350,295,23,4.4
,,,,,,,120,2,"Carrots, roasted",1,41,9.6,2.8
,,,,,,,40,2,"Pepper, roasted",1,32,7.6,1.4
,,,,,,,20,2,Spray oil,0.2,2,0.3,0.1
,,,,,,,55,,Broccoli,1,34,7,2.6
11/07/19,,,,,,,2,,Oatibix,21.5,395,64,7.3
,,,,,,,150,,"Milk, skimmed",1,37,5,0
,,,,,,,,,Banana,85,103,23.2,1.1
,,,,,,,,,Mushroom soup,600,30,2.6,0.6
,,,,,,,1.5,,Thins,40,225,38.6,3.5
,,,,,,,2,,Dates,19,279,64.5,6.7
,,,,,,,,,Orange,150,40,7.8,2.4
,,,,,,,,,"Coffee, milk",60,37,5.2,0
,,,,,,,,,"Half sugar, half teaspoon",2,400,98.9,0
,,,,,,,300,,"Orange juice, carton",1,42,8.6,0
,,,,,,,,4,Mince,500,168,0.1,0
,,,,,,,,4,Pepper,1,32,7.6,1.4
,,,,,,,,4,Onion,240,34.8,7.8,1.5
,,,,,,,,4,"Chopped tomatoes, carton",400,20,3,0.9
,,,,,,,,4,Red kidney beans,240,105,12.8,7.8
,,,,,,,,4,"Garlic, very lazy, tsp",5,76,11.3,4.9
,,,,,,,,4,Spray oil,0.2,2,0.3,0.1
,,,,,,,2,,Lo-dough pieces,28,139,7.9,33.2
,,,,,,,40,,Nutella,1,539,57.5,0
12/07/19,,,,,,,2,,Oatibix,21.5,395,64,7.3
,,,,,,,150,,"Milk, skimmed",1,37,5,0
,,,,,,,,,"Salad, waitrose",280,116,5.2,13
,,,,,,,,,"Sushi, waitrose",100,145,27,0
,,,,,,,400,,Ginger Pepsi Max,1,0.4,0,0
,,,,,,,,,"Coffee, milk",60,37,5.2,0
,,,,,,,2,,"Hazelnut syrup, pump",2,285,70.3,0
,,,,,,,,,Tossed wrap,100,210,61,6.3
,,,,,,,,,Carrot/apple/ginger smoothie,100,120,26,1.6
,,,,,,,,,Pear,100,43,10.9,1.6
13/07/19,,,,,,,30,,Pepper Orange,1,32,7.6,1.4
,,,,,,,64,,Celery,1,16,3,1.6
,,,,,,,75,,Cucumber,1,15,3.6,0.5
,,,,,,,110,,Carrot,1,41,9.6,2.8
,,,,,,,150,,"Orange juice, carton",1,32,6.9,0
,,,,,,,85,,Houmous,1,278,10.6,5.3
,,,,,,,115,,Tzatziki,1,129,4.4,0.3
,,,,,,,150,8,Dessicated coconut,1,629,6.4,11.5
,,,,,,,50,8,Sunflower seeds,1,598,18.6,6
,,,,,,,50,8,Hemp protein powder,1,362,10,13
,,,,,,,25,8,"Honey, runny",1,329,81.5,0.2
,,,,,,,,8,"Vanilla paste, tsp",5,340,60,0
,,,,,,,,8,"Coconut oil, tbsp",15,898,0,0
,,,,,,,,8,"Cinnamon, tsp",2.5,247,81,53
,,,,,,,2,,Dates,19,279,64.5,6.7
,,,,,,,,,Tassimo costa cappuccino,215,21,1.2,0
,,,,,,,5,3,Coconut oil,1,135,0.1,0
,,,,,,,,3,"Pepper, red",115,32,7.6,1.4
,,,,,,,,3,Onion,240,34.8,7.8,1.5
,,,,,,,,3,Chicken,640,137,0.2,0
,,,,,,,25,3,Thai curry paste,1,109,21,0
,,,,,,,0.67,3,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,2,,Lo-dough pieces,28,139,7.9,33.2
,,,,,,,,3,Chickpeas,240,122,16.5,6.1
,,,,,,,,3,Coconut cream,250,219,4.5,0.2
,,,,,,,21,,Nutella,1,539,57.5,0
14/07/19,,,,,,,2,,Boiled eggs,50,155,1.1,0
,,,,,,,1,,Thins,40,225,38.6,3.5
,,,,,,,10,,Lurpak,1,516,0.4,0
,,,,,,,,,Tassimo costa cappuccino,215,21,1.2,0
,,,,,,,0.5,,"Half sugar, half teaspoon",2,400,98.9,0
,,,,,,,2,,Dates,19,279,64.5,6.7
,,,,,,,1.33,,Gammon steaks,210,146,1.3,0.1
,,,,,,,175,,New potatoes,1,76,16,1.6
,,,,,,,,,Asparagus/Broccoli medley,160,94,2.6,3
,,,,,,,250,2,"Parsley sauce, inc milk",1,72,9.1,0.1
,,,,,,,,,Pear,100,43,10.9,1.6
,,,,,,,,,Orange,150,40,7.8,2.4
,,,,,,,100,,"Orange juice, carton",1,32,6.9,0
,,,,,,,500,,"Tonic water, diet",1,2,0,0
15/07/19,,,,,,,,,Banana,85,103,23.2,1.1
