Date,,,,,,,Qty,Frac,Item,Unit,Cals,Carb,Fib.
,,,,,,,2,,"Wine, white",125,67,0,0
10/11/19,,,,,,,,,"Soup, carrot & coriander",600,44,5.2,1.2
,,,,,,,4,,"Bread, wholemeal, slice",38,256,46.4,3.7
,,,,,,,30,,Cheddar,1,416,0.2,0
,,,,,,,150,,"Orange Juice, diluted",1,32,6.9,0
,,,,,,,,,"Coffee, milk",60,37,5.2,0
,,,,,,,,,"Half sugar, half teaspoon",6,400,99.9,0
,,,,,,,,2,Toad in the hole,350,295,23,4.4
,,,,,,,12,,"Mashed potatoes, pellet",14,103,15,1
,,,,,,,,2,Baked beans,415,66,9.5,3.6
12/01/20,,,,,,,92,,Wholegrain & Oat bread,1,245,38.8,5.9
,,,,,,,17,,Lurpak,1,516,0.4,0
,,,,,,,,,"Coffee, milk",88,37,5.2,0
,,,,,,,,,"Half sugar, flat teaspoon",6,400,99.9,0
,,,,,,,17,,Marmalade,1,250,61,0
,,,,,,,250,,"Orange Juice, diluted",1,32,6.9,0
,,,,,,,,4,"Mushroom, large",75,16,0.1,1.1
,,,,,,,,4,"Pepper, red",115,32,7.6,1.4
,,,,,,,,4,Onion,240,34.8,7.8,1.5
,,,,,,,2,4,Bacon rashers,26,229.2,0,0
,,,,,,,1,4,"Chopped tomatoes, carton",400,20,3,0.9
,,,,,,,,4,Beef mince,500,168,0.1,0
,,,,,,,,4,"Garlic, clove",3,133,33.1,2.1
,,,,,,,40,4,Spray oil,0.2,2,0.3,0.1
,,,,,,,133,,"Spaghetti, dry",1,355.6,72.2,3.1
,,,,,,,,,"Protein yoghurt, blueberry",200,62,5.3,0
,,,,,,,,,"Pear, ripe and ready",100,43,10.9,1.6
,,,,,,,20,4,Green beans,1,32,3.1,3.4
13/01/20,,,,,,,2,,"Coffee, milk",88,37,5.2,0
,,,,,,,,,"Half sugar, flat teaspoon",6,400,99.9,0
,,,,,,,,,"Sugar, teaspoons",5,400,99.9,0
,,,,,,,,,Hot chocolate,250,77,10.7,0.4
,,,,,,,6,,Ryvita Thins,6.5,401,70.8,5.2
,,,,,,,,,"Philadelphia Lite, mini",35,150,5.2,0.4
,,,,,,,55,,Smoked salmon slices,1,204,1.1,0
,,,,,,,15,,Mitsuba sushi mix,1,412,75.5,2.1
,,,,,,,,,Fish pie,450,117,10.6,0.9
,,,,,,,,,"Vegetables, frozen pouch",135,30,3.3,2.2
,,,,,,,,,"Banana, small",60,103,23.2,1.1
14/01/20,,,,,,,,,"Chunky chicken, tin",400,140,3.4,0.6
,,,,,,,,,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,,,Tomato,200,20,3.1,1
,,,,,,,250,,"Orange Juice, diluted",1,32,6.9,0
,,,,,,,2,,"Coffee, milk",88,37,5.2,0
,,,,,,,,,"Half sugar, flat teaspoon",6,400,99.9,0
,,,,,,,,,"Sugar, teaspoons",5,400,99.9,0
,,,,,,,,,Hot chocolate,215,56,9.5,0.4
,,,,,,,,3,Onion,240,34.8,7.8,1.5
,,,,,,,,3,"Pepper, red",115,32,7.6,1.4
,,,,,,,,3,Chorizo,75,338,1.1,0
,,,,,,,0.33,3,Green beans,150,32,3.1,3.4
,,,,,,,2,3,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,,3,"Chopped tomatoes, tin",400,24,3.5,0.9
,,,,,,,,3,Cod loin fillets,125,98,0.2,0.2
,,,,,,,,3,Trout fillets,240,203,0.1,0.1
,,,,,,,,3,Prawns,165,108,0.2,0
15/01/20,,,,,,,2,,"Coffee, milk",88,37,5.2,0
,,,,,,,2,,"Half sugar, flat teaspoon",6,400,99.9,0
,,,,,,,500,,"Orange Juice, diluted",1,32,6.9,0
,,,,,,,6,,Ryvita Thins,6.5,401,70.8,5.2
,,,,,,,,,"Philadelphia Lite, mini",35,150,5.2,0.4
,,,,,,,55,,Smoked salmon slices,1,204,1.1,0
,,,,,,,50,,Chavroux goat's cheese,1,336,1,0
,,,,,,,9,,Dates,19,279,64.5,6.7
,,,,,,,,3,Onion,240,34.8,7.8,1.5
,,,,,,,,3,"Pepper, yellow",115,32,7.6,1.4
,,,,,,,,3,Chicken fillet,640,137,0.2,0
,,,,,,,2,3,"Tikka Masala, jar",350,147,11.2,0.7
,,,,,,,,,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,,,Breyers ice cream,1,128,20,0
16/01/20,,,,,,,3,4,Carrots,100,41,9.6,2.8
,,,,,,,,4,Onion,240,34.8,7.8,1.5
,,,,,,,,4,Beef mince,500,168,0.1,0
,,,,,,,,4,"Sweetcorn, tin",165,77,11.8,2.5
,,,,,,,,4,Beef gravy pot,28,190,33,1.5
,,,,,,,150,4,Peas,1,85,10.8,5.6
,,,,,,,,4,"Garlic, clove",3,133,33.1,2.1
,,,,,,,,,"Beans, broccoli, sweetcorn",240,27,3.1,3.1
,,,,,,,800,4,Mashed potatoes,1,103,15,1
,,,,,,,,,Carrots,50,41,9.6,2.8
,,,,,,,,2,Baked beans,415,66,9.5,3.6
,,,,,,,50,,Cheddar,1,416,0.2,0
,,,,,,,57,,"Sliced bread, white",1,256,44,3.5
,,,,,,,2,,"Coffee, milk",88,37,5.2,0
,,,,,,,2,,"Half sugar, flat teaspoon",6,400,99.9,0
,,,,,,,2,,Porridge,27,370,59,9
,,,,,,,2,,Alpro Almond milk,150,13,0,0.4
,,,,,,,250,,"Orange Juice, diluted",1,32,6.9,0
,,,,,,,3,4,Lurpak,10,516,0.4,0
,,,,,,,,,"Pear, ripe and ready",100,43,10.9,1.6
18/01/20,,,,,,,3,,"Bread, wholemeal, slice",38,256,46.4,3.7
,,,,,,,3,,Ham,34.5,110,1.7,0
,,,,,,,3,,Lurpak,5,516,0.4,0
,,,,,,,,,"Coffee, milk",88,37,5.2,0
,,,,,,,,,"Half sugar, flat teaspoon",6,400,99.9,0
25/01/20,,,,,,,360,3,"Pasta, dry",1,354,73,2.7
,,,,,,,,4.3,Beef mince,500,168,0.1,0
,,,,,,,,4.3,Onion,240,34.8,7.8,1.5
,,,,,,,,4.3,Pepper,115,32,7.6,1.4
,,,,,,,3,4.3,Bacon rashers,26,229.2,0,0
,,,,,,,,,Waitrose ham and cheese s/wich,175,236,22,1.8
,,,,,,,,,Kettle chips,35,513,56.8,4.2
,,,,,,,,,Aqua Libra,250,1,0,0
,,,,,,,250,,"Orange Juice, diluted",1,32,6.9,0
,,,,,,,35,,Cheddar,1,416,0.2,0
,,,,,,,2,,"Coffee, milk",88,37,5.2,0
,,,,,,,,,"Half sugar, flat teaspoon",3,400,99.9,0
,,,,,,,,,"Sugar, teaspoons",5,400,99.9,0
29/01/20,,,,,,,,,"Coffee, milk",88,37,5.2,0
,,,,,,,,,"Half sugar, flat teaspoon",3,400,99.9,0
,,,,,,,0.5,,Aqua Libra,250,1,0,0
,,,,,,,250,,"Orange Juice, diluted",1,32,6.9,0
,,,,,,,,4,Onion,240,34.8,7.8,1.5
,,,,,,,2,4,"Pepper, red",115,32,7.6,1.4
,,,,,,,80,4,Green beans,1,32,3.1,3.4
,,,,,,,,4,"Garlic, very lazy, tsp",3,109,21,4.9
,,,,,,,,4,Chorizo,75,338,1.1,0
,,,,,,,2,4,"Chopped tomatoes, tin",400,24,3.5,0.9
,,,,,,,,4,Trout fillets,240,203,0.1,0.1
,,,,,,,,4,Cod loin fillets,250,98,0.2,0.2
,,,,,,,,4,Prawns,165,108,0.2,0
,,,,,,,3,4,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,190,,Breyers ice cream,1,128,20,0
,,,,,,,150,,Berries,1,33,6.1,0
02/02/20,,,,,,,2,3,Carrots,100,41,9.6,2.8
,,,,,,,,3,Onion,240,34.8,7.8,1.5
,,,,,,,,3,Beef mince,500,168,0.1,0
,,,,,,,,3,"Sweetcorn, tin",165,77,11.8,2.5
,,,,,,,,3,Beef gravy pot,28,190,33,1.5
,,,,,,,,3,Peas,1,85,10.8,5.6
,,,,,,,900,3,Frozen mash,1,103,15,1
,,,,,,,,2,"Beans, broccoli, sweetcorn",240,27,3.1,3.1
,,,,,,,7,,"Bread, 50/50",39,234,41.9,4.7
,,,,,,,,,Chicken paste,73,170,0.1,2.9
,,,,,,,,,Apple,100,57,11.6,0
,,,,,,,,,"Pear, ripe and ready",100,43,10.9,1.6
,,,,,,,2,,Easy peeler,75,43,9.1,0
,,,,,,,40,,Lurpak,1,516,0.4,0
,,,,,,,250,,"Orange Juice, diluted",1,32,6.9,0
03/02/20,,,,,,,3,,"Eggs, scrambled",50,143,0.7,0
,,,,,,,2,,"Toast, slice",39,234,41.9,4.7
,,,,,,,,,"Coffee, milk",88,37,5.2,0
,,,,,,,,,"Half sugar, flat teaspoon",3,400,99.9,0
,,,,,,,250,,"Orange Juice, diluted",1,42,8.6,0
,,,,,,,,,Coffee,88,37,5.2,0
,,,,,,,,,Capuccino,88,50,8,0
,,,,,,,15,,"Sugar, teaspoons",1,400,99.9,0
13/02/20,,,,,,,,,"Coffee, milk",88,37,5.2,0
,,,,,,,,,"Half sugar, flat teaspoon",3,400,99.9,0
,,,,,,,500,,"Orange Juice, diluted",1,32,6.9,0
,,,,,,,40,,Cheddar,1,416,0.2,0
,,,,,,,4,,"Bread, 50/50",39,234,41.9,4.7
,,,,,,,10,,Lurpak,1,516,0.4,0
,,,,,,,,3,Onion,240,34.8,7.8,1.5
,,,,,,,,3,"Pepper, yellow",115,32,7.6,1.4
,,,,,,,75,3,Green beans,1,32,3.1,3.4
,,,,,,,,3,Carrots,100,41,9.6,2.8
,,,,,,,2,3,Potato,200,76,16,1.8
,,,,,,,,3,Chicken breast fillets,640,137,0.2,0
,,,,,,,,3,"Tikka Masala, jar",350,147,11.2,0.7
,,,,,,,,3,Coconut Cream,250,219,4.5,0.2
,,,,,,,0.67,,"Rice, Basmati micro",250,168,30.5,1.4
24/02/20,,,,,,,2,,Porridge,27,370,59,9
,,,,,,,2,,Alpro Almond milk,150,13,0,0.4
,,,,,,,50,,Strawberries,1,33,6.1,0
,,,,,,,27,,Mixed nuts,1,651,5.4,8.3
,,,,,,,7,,Dried cranberries,1,328,76.7,5.3
,,,,,,,,,"Orange squash, sugar free",1,3,0,0
,,,,,,,2,,"Bread, white",30,234,41.9,4.7
,,,,,,,30,,"Cheddar, grated",1,416,0.2,0
,,,,,,,0.5,,"Tomato, small",80,20,3.1,1
,,,,,,,,,Meringue nest,96,50,11.7,0
,,,,,,,,3,"Peaches, tinned in juice",411,48,11.2,0.9
,,,,,,,75,,M&S low fat dessert,1,128,20,0
,,,,,,,,2,"Baked beans, tin",415,66,9.5,3.6
,,,,,,,60,,Coleslaw,1,181,5.4,1.5
,,,,,,,,,Ginsters cornish pasty,200,269,21.6,2.2
,,,,,,,0.5,,"Tomato, beef",200,20,3.1,1
,,,,,,,,,Apple,100,57,11.6,0
,,,,,,,,,"Pear, ripe and ready",100,43,10.9,1.6
,,,,,,,2,,"Coffee, milk",88,37,5.2,0
,,,,,,,4,,"Sugar, teaspoons",3,400,99.9,0
25/02/20,,,,,,,3,,"Vimto, 3.5 fl.oz",1,2,0,0
,,,,,,,2,,"Coffee, milk",88,37,5.2,0
,,,,,,,2,,"Half sugar, flat teaspoon",3,400,99.9,0
,,,,,,,80,,Oat flakes,1,405,67,2.4
,,,,,,,80,,Raspberries,1,31,4.4,0
,,,,,,,180,,Alpro Almond milk,1,13,0,0.4
,,,,,,,,2,"Baked beans, tin",415,66,9.5,3.6
,,,,,,,60,,Coleslaw,1,181,5.4,1.5
,,,,,,,,,Ginsters cornish pasty,200,269,21.6,2.2
,,,,,,,0.5,,"Tomato, beef",200,20,3.1,1
,,,,,,,110,,"Pasta wholemeal, dry",1,348,75,0
,,,,,,,,3.7,Beef mince,500,168,0.1,0
,,,,,,,,3.7,Onion,240,34.8,7.8,1.5
,,,,,,,,3.7,"Pepper, red",115,32,7.6,1.4
,,,,,,,,3.7,Celery,1,16,3,1.6
,,,,,,,,3.7,Green beans,1,32,3.1,3.4
,,,,,,,4,3.7,Bacon rashers,26,229.2,0,0
,,,,,,,,3.7,"Chopped tomatoes, tin",400,24,3.5,0.9
26/02/20,,,,,,,92,,"Bread, wholemeal, nuts and seeds",1,269,37.1,6.4
,,,,,,,20,,Lurpak,1,516,0.4,0
,,,,,,,2,,"Ham, slice",34.5,110,1.7,0
,,,,,,,2,,"Coffee, milk",88,37,5.2,0
,,,,,,,2,,"Half sugar, flat teaspoon",3,400,99.9,0
,,,,,,,,,"Orange Juice, fresh",500,43,9.5,0
,,,,,,,,2,"Edamame Bean Salad, no dressing",180,105,6.5,10.4
,,,,,,,,,"Tuna Nicoise salad, no dressing",260,16,4,1.3
,,,,,,,,1.5,"Toad In The Hole, (RYP)",350,295,23,4.4
,,,,,,,,2,"Vegetables, frozen pouch",135,30,3.3,2.2
,,,,,,,,2.5,Peas,191,85,10.8,5.6
,,,,,,,157,,Carrots,1,41,9.6,2.8
27/02/20,,,,,,,50,,Banana,1,103,23.2,1.1
,,,,,,,,2,"Edamame Bean Salad, no dressing",180,105,6.5,10.4
,,,,,,,,,Crunchy salad,160,27,3.7,0.9
,,,,,,,,,"Eggs, boiled",115,145,4.4,0
,,,,,,,1,,"Coffee, milk",88,37,5.2,0
,,,,,,,1,,"Half sugar, flat teaspoon",3,400,99.9,0
,,,,,,,,3,Chicken breast fillets,640,137,0.2,0
,,,,,,,,3,Onion,240,34.8,7.8,1.5
,,,,,,,250,3,Carrots,1,41,9.6,2.8
,,,,,,,100,3,Green beans,1,32,3.1,3.4
,,,,,,,,3,Chickpeas,240,122,16.5,6.1
,,,,,,,,3,Coconut Cream,250,219,4.5,0.2
,,,,,,,,1.5,"Rice, Basmati micro",250,168,30.5,1.4
02/09/20,,,,,,,78,,"Bread, wholemeal, nuts and seeds",1,269,37.1,6.4
,,,,,,,35,,Lurpak,1,516,0.4,0
,,,,,,,40,,Marmalade (Sandys),1,264,64.6,
,,,,,,,1.5,,"Coffee, milk, sugar",100,42.6,7.6,
,,,,,,,12.86,,Ryvita Thins,7,401,70.8,5.2
,,,,,,,2,,"Philadelphia Lite, mini",35,150,5.2,0.4
,,,,,,,100,,Smoked salmon slices,1,204,1.1,0
,,,,,,,100,,"Goats cheese, french",1,291,1,
,,,,,,,1,,"Pear, ripe and ready",100,43,10.9,1.6
,,,,,,,,3.8,Beef mince,500,168,0.1,0
,,,,,,,40,3.8,Frozen mash,14,103,15,1
,,,,,,,30,3.8,Butter,1,516,0.4,0
,,,,,,,,2,"Halo Top, salted caramel",473,68,14,
03/09/20,,,,,,,2,,Hot cross bun TTD,70,274,50.4,
,,,,,,,1,,"Coffee, milk, sugar",100,42.6,7.6,
,,,,,,,2,,Pancake rolls,55,154,4.3,
,,,,,,,,2,"Foo Yong, mushroom",300,115,4,
,,,,,,,,,Chilli pepper prawns,300,216,15,
,,,,,,,,,Spare ribs,300,160,4,
04/09/20,,,,,,,,2.1,Beef mince,500,168,0.1,0
,,,,,,,40,2.1,Frozen mash,14,103,15,1
,,,,,,,30,2.1,Butter,1,516,0.4,0
,,,,,,,2,,"Coffee, milk, sugar",100,42.6,7.6,
,,,,,,,60,,Banana,1,103,23.2,1.1
,,,,,,,,,Yoghurt,110,98,12.6,
,,,,,,,,,Brunch bar,32,427,65,
,,,,,,,3,,"Bread, white",40,234,41.9,4.7
,,,,,,,,,"Tomato, beef",200,20,3.1,1
,,,,,,,12,,Lurpak,1,516,0.4,0
,,,,,,,42,,Cheddar,1,416,0.2,0
05/09/20,,,,,,,56,,Banana,1,103,23.2,1.1
,,,,,,,,,Yoghurt,110,98,12.6,
,,,,,,,120,,Apple,1,57,11.6,0
,,,,,,,130,,"Pear, ripe and ready",1,43,10.9,1.6
,,,,,,,140,,"Orange, with skin",1,47,12,
,,,,,,,2,,Bacon rashers,26,229.2,0,0
,,,,,,,2,,"Eggs, fried",100,90,0.6,
,,,,,,,,2,Beans,415,66,9.5,
,,,,,,,,3,Chicken breast fillets,640,137,0.2,0
,,,,,,,,3,Chickpeas,240,122,16.5,6.1
,,,,,,,,3,Thai Curry paste,45,76,11.3,
,,,,,,,,,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,3,,"Coffee, milk, sugar",100,42.6,7.6,
,,,,,,,100,3,Coconut Cream,1,685,14,0.2
,,,,,,,,2,"Halo Top, salted caramel",473,68,14,
06/09/20,,,,,,,,2,Tuna tin,160,113,0,
,,,,,,,4,,"Bread, white",40,234,41.9,4.7
,,,,,,,20,2,Mayo,1,264,6,
,,,,,,,15,2,Salad cream,1,331,20.8,
,,,,,,,30,,Lurpak,1,516,0.4,0
,,,,,,,,4,Sweetcorn,165,77,11.8,2.5
,,,,,,,3,,"Coffee, milk, sugar",100,42.6,7.6,
,,,,,,,,2,"Halo Top, salted caramel",473,68,14,
,,,,,,,1.5,,"Pie, chicken",212,216,20.9,
,,,,,,,150,,Chips,1,208,31,2.9
07/09/20,,,,,,,150,,Tiger bread,1,238,48.1,
,,,,,,,40,,Cheddar,1,416,0.2,0
,,,,,,,10,,Pickle,1,159,35,
,,,,,,,120,,Apple,1,57,11.6,0
,,,,,,,,,Macaroni cheese,375,156,15.9,
,,,,,,,80,,"Pasta, dry",1,354,73,2.7
,,,,,,,2,,"Coffee, milk, sugar",100,42.6,7.6,
08/09/20,,,,,,,2,,"Coffee, milk, sugar",100,42.6,7.6,
,,,,,,,12.86,,Ryvita Thins,7,401,70.8,5.2
,,,,,,,1,,"Philadelphia Lite, mini",35,150,5.2,0.4
,,,,,,,100,,Smoked salmon slices,1,204,1.1,0
,,,,,,,100,,"Goats cheese, french",1,291,1,
,,,,,,,,,"Toad In The Hole, (RYP)",350,295,23,4.4
,,,,,,,,,Yoghurt,110,98,12.6,
,,,,,,,130,,"Pear, ripe and ready",1,43,10.9,1.6
09/09/20,,,,,,,4,,"Bread, white",40,234,41.9,4.7
,,,,,,,,,Chicken paste,73,170,0.1,2.9
,,,,,,,,4,Chicken breast fillets,640,137,0.2,0
,,,,,,,,4,Potato,200,76,16,1.8
,,,,,,,150,4,Carrot ,1,41,9.6,2.8
,,,,,,,0.33,4,Coconut cream,200,685,14,0.2
,,,,,,,,4,Thai Curry paste,45,76,11.3,
,,,,,,,2,,"Coffee, milk, sugar",100,42.6,7.6,
,,,,,,,1,,Hot cross bun TTD,70,274,50.4,
,,,,,,,,,Yoghurt,110,98,12.6,
,,,,,,,130,,"Pear, ripe and ready",1,43,10.9,1.6
10/09/20,,,,,,,,,Banana,55,103,23.2,1.1
,,,,,,,4,,"Bread, white",40,234,41.9,4.7
,,,,,,,40,,Cheddar,1,416,0.2,0
,,,,,,,,2,Chickpeas,240,122,16.5,6.1
,,,,,,,,4,Chicken breast fillets,640,137,0.2,0
,,,,,,,,4,Potato,200,76,16,1.8
,,,,,,,150,4,Carrot ,1,41,9.6,2.8
,,,,,,,0.33,4,Coconut cream,200,685,14,0.2
,,,,,,,,4,Thai Curry paste,45,76,11.3,
,,,,,,,3,,"Coffee, milk, sugar",100,42.6,7.6,
,,,,,,,120,,"Orange, with skin",1,47,12,
,,,,,,,1,,After eight,8.6,431,73.9,
,,,,,,,,,"Rice, Basmati micro",250,168,30.5,1.4
11/09/20,,,,,,,,3.5,Onion,240,34.8,7.8,1.5
,,,,,,,2,3.5,"Pepper, red",115,32,7.6,1.4
,,,,,,,80,3.5,Green beans,1,32,3.1,3.4
,,,,,,,,3.5,"Garlic, very lazy, tsp",3,109,21,4.9
,,,,,,,,3.5,Chorizo,75,338,1.1,0
,,,,,,,2,3.5,"Chopped tomatoes, tin",400,24,3.5,0.9
,,,,,,,,3.5,Trout fillets,240,203,0.1,0.1
,,,,,,,,3.5,Cod loin fillets,250,98,0.2,0.2
,,,,,,,,3.5,Prawns,165,108,0.2,0
,,,,,,,2,3.5,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,,,"Bread, white",37.5,234,41.9,4.7
,,,,,,,,,Chicken paste,73,170,0.1,2.9
,,,,,,,3,,"Coffee, milk, sugar",100,42.6,7.6,
12/09/20,,,,,,,4,,"Bread, white",37.5,234,41.9,4.7
,,,,,,,40,,Cheddar,1,416,0.2,0
,,,,,,,,,Gammon steaks,100,158,1,0.1
,,,,,,,10,2,"Flour, plain",1,335,69.9,
,,,,,,,250,2,Milk,1,37,5.2,
,,,,,,,20,2,Butter,1,516,0.4,0
,,,,,,,4,,"Pineapple, slice",54,54,12.8,
,,,,,,,224,2,Self-raising flour,1,335,69.9,3.7
,,,,,,,224,2,Sugar,1,400,99.9,0
,,,,,,,224,2,Lurpak,1,516,0.4,0
,,,,,,,2,2,Egg,59.4,143,0,0
,,,,,,,4,,"Coffee, milk, sugar",100,42.6,7.6,
13/09/20,,,,,,,3,,Bacon rashers,26,229.2,0,0
,,,,,,,2,,"Eggs, fried",60,90,0.6,
,,,,,,,,4,"Baked beans, tin",415,66,9.5,3.6
,,,,,,,1,,"Bread, white",37.5,234,41.9,4.7
,,,,,,,4,,Lurpak,1,516,0.4,0
,,,,,,,3,,"Bread, white",37.5,234,41.9,4.7
,,,,,,,12,,Lurpak,1,516,0.4,0
,,,,,,,,,"Ham, slice",34.5,110,1.7,0
,,,,,,,,,"Orange, with skin",120,47,12,
,,,,,,,,,"Pear, ripe and ready",120,43,10.9,1.6
,,,,,,,,2,Beef steaks,350,192,0.2,0.2
,,,,,,,,2,Olive oil,5,823,0,0
,,,,,,,0.67,2,Crème fraiche,300,295,3,
,,,,,,,,,"Rice, Basmati micro",250,168,30.5,1.4
27/09/20,,,,,,,3,,"Coffee, milk, sugar",100,49,8.2,
,,,,,,,40,,Cheddar,1,416,0.2,0
,,,,,,,10,,Pickle,1,159,35,
,,,,,,,4,,"Bread, white",37.5,234,41.9,4.7
,,,,,,,130,,"Pear, ripe and ready",1,43,10.9,1.6
,,,,,,,,,Yoghurt,110,98,12.6,
,,,,,,,2,3,"Toad In The Hole, (RYP)",350,295,23,4.4
,,,,,,,30,2,"Mashed potatoes, pellet",14,103,15,1
,,,,,,,,,"Orange, easy peeler",53,43,9.1,
28/09/20,,,,,,,13,,Cheddar,1,416,0.2,0
,,,,,,,5,,Pickle,1,159,35,
,,,,,,,4,,"Bread, white",37.5,234,41.9,4.7
,,,,,,,2,,"Ham, slice",34.5,110,1.7,0
,,,,,,,,,Grapes (10),30,75,17,0
,,,,,,,,,Nectarine,115,45,9,1.2
,,,,,,,,,Satsuma,50,43,9.1,
,,,,,,,1,,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,3,,"Coffee, milk, sugar",100,49,8.2,
,,,,,,,,3,Onion,240,34.8,7.8,1.5
,,,,,,,2,3,"Pepper, red",115,32,7.6,1.4
,,,,,,,80,3,Green beans,1,32,3.1,3.4
,,,,,,,,3,"Garlic, very lazy, tsp",3,109,21,4.9
,,,,,,,,3,Chorizo,75,338,1.1,0
,,,,,,,1,3,"Chopped tomatoes, tin",400,24,3.5,0.9
,,,,,,,,3,Trout fillets,240,203,0.1,0.1
,,,,,,,,3,Prawns,165,108,0.2,0
,,,,,,,,2,"Halo Top, salted caramel",473,68,14,
29/09/20,,,,,,,,,Pizza,319.8,247,26.9,
,,,,,,,,,Garlic bread,94.8,328,47,
,,,,,,,,,"Halo Top, salted caramel",473,68,14,
,,,,,,,,,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,,,"Chunky chicken, tin",200,140,3.4,0.6
,,,,,,,3,,"Coffee, milk, sugar",100,49,8.2,
,,,,,,,200,,Tiger bread,1,238,48.1,
,,,,,,,15,,Marmalade (Sandys),1,250,61,
,,,,,,,15,,Lurpak,1,516,0.4,0
30/09/20,,,,,,,3,,"Bread, white",37.5,234,41.9,4.7
,,,,,,,3,,"Nutella, spread thick",20,539,57.5,
,,,,,,,,,Apple,100,57,11.6,0
,,,,,,,,2,"Pear, ripe and ready",130,43,10.9,1.6
,,,,,,,,2,Nectarine,115,45,9,1.2
,,,,,,,,2,Apricot,40,45,9,
,,,,,,,,,"Orange, with skin",120,47,12,
,,,,,,,,,Yoghurt,110,98,12.6,
,,,,,,,50,,Crunchy nut,1,445,65,
,,,,,,,30,,Raspberries,1,31,4.4,0
,,,,,,,,3,Chicken breast fillets,640,137,0.2,0
,,,,,,,,3,Potatoes,150,76,16,
,,,,,,,,,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,,,"Halo Top, salted caramel",473,68,14,
01/10/20,,,,,,,,,Apple,100,57,11.6,0
,,,,,,,,2,"Pear, ripe and ready",130,43,10.9,1.6
,,,,,,,,2,Nectarine,115,45,9,1.2
,,,,,,,,2,Apricot,40,45,9,
,,,,,,,,,"Orange, with skin",120,47,12,
,,,,,,,,,Yoghurt,110,98,12.6,
,,,,,,,50,,Crunchy nut,1,445,65,
,,,,,,,,,Macaroni cheese,375,156,15.9,
,,,,,,,85,,"Pasta, dry",1,354,73,2.7
,,,,,,,3,,"Coffee, milk, sugar",100,42.6,7.6,
02/10/20,,,,,,,,,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,,3,Beef mince,500,168,0.1,0
,,,,,,,,3,Kidney beans,400,105,12.8,7.8
,,,,,,,12.86,,Ryvita Thins,7,401,70.8,5.2
,,,,,,,1,,"Philadelphia Lite, mini",35,150,5.2,0.4
,,,,,,,,,Smoked salmon slices,100,204,1.1,0
,,,,,,,0.67,,"Goats cheese, french",100,291,1,
,,,,,,,3,,"Coffee, milk, sugar",100,49,8.2,
03/10/20,,,,,,,4,,"Bread, 50/50, slice",40.2,234,41.9,4.7
,,,,,,,3,,"Marmalade, tsp",5,264,64.6,1.6
,,,,,,,20,,Lurpak,1,516,0.4,0
,,,,,,,2.5,,"Coffee, milk, sugar",100,49,8.2,
,,,,,,,,,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,,3.8,Beef mince,500,168,0.1,0
,,,,,,,,3.8,Kidney beans,400,105,12.8,7.8
,,,,,,,,,Yoghurt,110,98,12.6,
,,,,,,,,,"Pear, ripe and ready",130,43,10.9,1.6
,,,,,,,1,,"Coffee, milk, sugar",100,49,8.2,
04/10/20,,,,,,,3,,"Bread, 50/50, slice",40.2,234,41.9,4.7
,,,,,,,15,,Lurpak,1,516,0.4,0
,,,,,,,2,,"Coffee, milk, sugar",100,49,8.2,
,,,,,,,3,,"Eggs, boiled",49.7,145,4.4,0
,,,,,,,,,"Pie, chicken & mushroom",150,222,21.7,
,,,,,,,150,,Oven chips,1,208,31,
,,,,,,,,,"Chicken fillet, breaded",90,263,21,
05/10/20,,,,,,,3,,Tiger bread,40.2,234,41.9,
,,,,,,,3,,"Marmalade, tsp",5,264,64.6,1.6
,,,,,,,10,,Lurpak,1,516,0.4,0
,,,,,,,2,,"Bread, 50/50, slice",40.2,234,41.9,4.7
,,,,,,,2,,"Ham, slice",34.5,110,1.7,0
,,,,,,,,,Pombears,15,598,64,
,,,,,,,,,Grapes (10),30,75,17,0
,,,,,,,75,,Strawberries,1,33,6.1,0
,,,,,,,,,Meringue nest,96,50,11.7,0
,,,,,,,75,,M&S low fat dessert,1,128,20,0
,,,,,,,3,,"Yorkshire pudding, small",18.3,248,41,2.8
,,,,,,,30,,"Stuffing, sage & onion",1,119,22.3,1.7
,,,,,,,3,3,Carrots,100,41,9.6,2.8
,,,,,,,,3,Onion,240,34.8,7.8,1.5
,,,,,,,2,3,"Pepper, red",115,32,7.6,1.4
,,,,,,,,3,"chicken, roast",525,160,0.2,
,,,,,,,0.5,,"Halo Top, salted caramel",473,68,14,
,,,,,,,3,,"Coffee, milk, sugar",100,49,8.2,
07/10/20,,,,,,,35,,Oatibix flakes,1,395,64,
,,,,,,,,2,Apple,100,57,11.6,0
,,,,,,,,2,"Pear, ripe and ready",130,43,10.9,1.6
,,,,,,,,2,Nectarine,115,45,9,1.2
